"","ACVR2A","AJUBA","APC","ARHGAP35","ARHGAP5","ARHGEF12","ARID1A","ARID1B","ATM","ATR","AXIN1","AXIN2","B2M","BAX","BIRC6","BMPR2","BRAF","BRCA1","BRCA2","BRIP1","CACNA1D","CARD11","CASP8","CBLC","CDH1","CDKN2A","CHD4","CIC","CIITA","CLIP1","CLTC","CLTCL1","CR1","CREBBP","CTNNB1","DAZAP1","DCC","DDX3X","DOT1L","EGFR","EP300","EPHA2","EPHA3","EPHA7","ERBB2","ERBB3","ERBB4","FANCA","FAT4","FBXW7","FES","FGFR4","FLCN","FLT4","FN1","GNA13","GRIN2A","HERC2","HLA-A","HLA-B","HSPG2","IRS4","JAK1","JAK3","KDM6A","KEAP1","KMT2A","KRAS","LATS1","LATS2","MAP2K1","MAP2K4","MAP2K7","MAP3K13","MED12","MET","MLH1","MSH2","MSH6","MUTYH","MYC","MYH9","NBN","NCOR1","NCOR2","NF1","NF2","NFE2L2","NOTCH1","NOTCH2","NRAS","NTRK1","PABPC1","PARP4","PIK3CA","PIK3CB","PIK3R1","PML","PMS2","POLD1","POLE","PPM1D","PRKD2","PTCH1","PTEN","PTPN11","PTPN13","PTPN6","PTPRB","PTPRC","RASA1","RASA2","RB1","RHOA","RNF43","SDHA","SMAD4","SMARCA4","SMARCB1","SOX9","STAG2","STAT3","STAT5B","STK11","TAF15","TGFBR2","TNFAIP3","TP53","TSC1","TSC2","UBR5","USP8","VHL","ZEB1","ZFHX3"
"ACVR2A",0,0,0.258198889747161,0,0,0,0,0,0,0,0.288675134594813,0.288675134594813,0,0,0,0.774596669241483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140028008402801,0.160128153805087,0,0,0,0,0,0.140028008402801,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0.149071198499986,0.174077655955698,0,0,0,0.0793051585718144,0,0,0.0758098043578903,0,0,0,0,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0,0.0808452083454443,0,0,0,0.074535599249993,0.074535599249993,0.074535599249993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105409255338946,0,0,0.348155311911396,0,0,0,0,0.132453235706504,0,0,0,0.308606699924184,0,0,0,0,0,0,0,0,0.577350269189626
"AJUBA",0,0,0.447213595499958,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0.277350098112615,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301511344577764,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0,0
"APC",0.258198889747161,0.447213595499958,0,0.223606797749979,0,0.182574185835055,0,0,0,0,0.894427190999916,0.894427190999916,0,0.111803398874989,0,0.4,0.182574185835055,0,0,0,0.0877058019307029,0,0.108465228909328,0,0.182574185835055,0,0,0,0,0,0,0,0,0.108465228909328,0.496138938356834,0,0,0,0,0.0912870929175277,0.108465228909328,0,0,0,0,0,0,0,0.447213595499958,0,0,0.316227766016838,0,0,0.169030850945703,0.149071198499986,0.129099444873581,0,0,0,0,0,0.115470053837925,0.134839972492648,0,0,0,0.184288535050185,0.447213595499958,0.447213595499958,0.176166065854411,0,0.119522860933439,0,0,0,0,0,0,0,0.335410196624968,0.258198889747161,0,0,0,0,0.316227766016838,0,0,0,0.187867287325545,0,0,0,0.115470053837925,0.115470053837925,0.115470053837925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163299316185545,0.447213595499958,0.316227766016838,0.404519917477945,0,0,0,0,0.102597835208515,0,0,0,0.119522860933439,0,0.1,0,0,0,0,0,0,0.447213595499958
"ARHGAP35",0,0,0.223606797749979,0,0.707106781186547,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277350098112615,0,0,0,0,0.204124145231932,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0.176776695296637,0,0.204124145231932,0.377964473009227,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0686802819743445,0,0,0.131306432859723,0,0,0,0,0.144337567297406,0,0,0,0,0,0.288675134594813,0,0,0,0,0,0,0,0,0.0700140042014005,0,0,0,0.258198889747161,0.258198889747161,0.258198889747161,0,0,0,0,0,0,0,0.150755672288882,0.150755672288882,0,0,0,0,0,0,0,0.365148371670111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP5",0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392232270276368,0,0,0,0,0.144337567297406,0,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0.288675134594813,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928476690885259,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182574185835055,0.182574185835055,0.182574185835055,0,0,0,0,0,0,0,0.21320071635561,0.21320071635561,0,0,0,0,0,0,0,0.258198889747161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF12",0,0,0.182574185835055,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0.182574185835055,0.25,0,0,0,0.0800640769025436,0,0.0990147542976674,0,0,0,0,0,0,0,0,0,0,0,0.11322770341446,0,0.408248290463863,0,0,0.166666666666667,0,0.182574185835055,0.408248290463863,0.408248290463863,0.136082763487954,0.182574185835055,0.182574185835055,0,0,0,0.408248290463863,0.144337567297406,0,0,0.308606699924184,0.408248290463863,0,0,0,0,0.235702260395516,0,0,0,0,0,0,0.224308861636818,0,0,0.160816880225669,0,0,0,0,0.235702260395516,0,0,0,0,0.102062072615966,0.471404520791032,0,0,0,0,0,0,0,0,0.228664780190012,0,0,0,0.263523138347365,0.263523138347365,0.263523138347365,0,0,0,0,0,0,0.408248290463863,0,0.369274472937998,0,0.154303349962092,0,0,0.235702260395516,0,0,0.447213595499958,0,0,0,0,0,0,0,0.0936585811581694,0,0,0,0,0,0.0912870929175277,0,0,0,0,0,0,0
"ARID1A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137360563948689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140028008402801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0.301511344577764,0,0,0,0,0
"ARID1B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137360563948689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140028008402801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0.301511344577764,0,0,0,0,0
"ATM",0,0,0,0,0,0,0,0,0,0.530330085889911,0,0,0,0.265165042944955,0.25,0,0.0721687836487032,0.176776695296637,0.25,0.25,0.0693375245281536,0.204124145231932,0.171498585142509,0,0,0.474341649025257,0,0,0,0,0,0,0,0.171498585142509,0,0,0,0,0.353553390593274,0.0721687836487032,0.171498585142509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133630620956212,0.133630620956212,0,0.117851130197758,0,0,0.353553390593274,0,0.353553390593274,0.14569287935359,0,0,0.139271503632789,0,0,0,0,0.102062072615966,0,0,0,0,0.265165042944955,0,0.5,0.25,0,0,0,0,0,0,0.148522131446501,0.25,0,0.25,0.136930639376292,0.136930639376292,0.136930639376292,0.176776695296637,0,0.158113883008419,0,0.353553390593274,0,0,0.319801074533416,0,0.353553390593274,0,0,0,0,0,0.267261241912424,0,0,0,0.21320071635561,0,0,0,0.353553390593274,0.0811107105653813,0,0.125,0.25,0.28347335475692,0.144337567297406,0.395284707521047,0.117851130197758,0.21320071635561,0,0,0,0.353553390593274,0
"ATR",0,0,0,0,0,0,0,0,0.530330085889911,0,0,0,0,0.125,0,0,0,0.25,0.353553390593274,0.353553390593274,0.098058067569092,0,0.121267812518166,0,0,0.670820393249937,0,0,0,0,0,0,0,0.121267812518166,0,0,0,0,0,0,0.121267812518166,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.188982236504614,0.188982236504614,0,0,0,0,0,0,0,0.0686802819743445,0,0,0.0656532164298613,0,0,0,0,0,0.353553390593274,0,0,0,0.25,0,0.353553390593274,0,0,0,0,0,0,0,0.0700140042014005,0,0,0,0.0645497224367903,0.0645497224367903,0.0645497224367903,0,0.353553390593274,0,0,0.5,0,0,0.301511344577764,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0.150755672288882,0,0,0,0.5,0,0,0,0,0.133630620956212,0,0.335410196624968,0.166666666666667,0.301511344577764,0,0,0,0,0
