gene_symbol,mutation_frequency
TP53,0.6729758149316509
KMT2C,0.13144058885383805
KRAS,0.13038906414300735
KMT2D,0.10830704521556257
PTEN,0.10830704521556257
RB1,0.09884332281808622
PIK3CA,0.09884332281808622
HLA-A,0.08832807570977919
EP300,0.08832807570977919
BRAF,0.08622502628811778
ARID1A,0.08622502628811778
SDHA,0.08201892744479496
CDKN2A,0.07991587802313355
LRP1B,0.07465825446898001
POLQ,0.07255520504731862
CREBBP,0.0683491062039958
HLA-B,0.06729758149316509
CBLC,0.06624605678233439
SMARCA4,0.06519453207150368
FAT3,0.06519453207150368
NRAS,0.06309148264984227
NF1,0.058885383806519455
RPL22,0.05573080967402734
APC,0.05362776025236593
FBXW7,0.05152471083070452
ACVR2A,0.04942166140904311
MSH6,0.04942166140904311
SMAD4,0.048370136698212406
BAX,0.0473186119873817
ZFHX3,0.0452155625657203
KMT2B,0.04416403785488959
NBEA,0.04416403785488959
NIPBL,0.04206098843322818
HERC2,0.04206098843322818
UBR5,0.04100946372239748
PABPC1,0.04100946372239748
PIK3R1,0.04100946372239748
BRCA2,0.03995793901156677
STK11,0.03995793901156677
HSPG2,0.03680336487907466
ATM,0.03680336487907466
BCORL1,0.035751840168243953
CTCF,0.035751840168243953
FAT1,0.03470031545741325
FAT4,0.03470031545741325
SETD2,0.033648790746582544
MLH1,0.03259726603575184
ASXL1,0.03259726603575184
PTPRT,0.03259726603575184
CASP8,0.03259726603575184
FBN2,0.03259726603575184
CLTCL1,0.031545741324921134
MGA,0.030494216614090432
BIRC6,0.030494216614090432
TRRAP,0.030494216614090432
PBRM1,0.030494216614090432
RNF43,0.030494216614090432
VHL,0.030494216614090432
NF2,0.029442691903259727
CDH1,0.029442691903259727
ARID2,0.029442691903259727
NFE2L2,0.029442691903259727
KDM6A,0.028391167192429023
BCOR,0.028391167192429023
ARID1B,0.028391167192429023
NOTCH1,0.027339642481598318
KEAP1,0.027339642481598318
STAG2,0.027339642481598318
ZNF208,0.027339642481598318
BCL9L,0.026288117770767613
SPEN,0.026288117770767613
RHOA,0.026288117770767613
ATF7IP,0.026288117770767613
CRTC1,0.025236593059936908
BRCA1,0.025236593059936908
PARP4,0.025236593059936908
PTPN13,0.024185068349106203
PRDM2,0.024185068349106203
MSH2,0.024185068349106203
TGFBR2,0.024185068349106203
PTPRB,0.023133543638275498
EPHA3,0.023133543638275498
EZH2,0.023133543638275498
GRIN2A,0.023133543638275498
MYH9,0.023133543638275498
NCOR2,0.022082018927444796
EGFR,0.022082018927444796
EPHA7,0.022082018927444796
PTPRK,0.02103049421661409
CUX1,0.02103049421661409
DDX3X,0.019978969505783387
PTCH1,0.019978969505783387
CTNNB1,0.019978969505783387
DIS3,0.019978969505783387
B2M,0.019978969505783387
CACNA1D,0.019978969505783387
TET2,0.019978969505783387
FLCN,0.01892744479495268
ARHGAP35,0.01892744479495268
BRIP1,0.01892744479495268
MAP2,0.01892744479495268
IRS4,0.01892744479495268
STAT5B,0.01892744479495268
WNK2,0.01892744479495268
DNMT3A,0.01892744479495268
FANCA,0.01892744479495268
FN1,0.01892744479495268
JAK1,0.01892744479495268
MCM3AP,0.01892744479495268
KMT2A,0.017875920084121977
QKI,0.017875920084121977
BMPR2,0.017875920084121977
RASA1,0.017875920084121977
WRN,0.017875920084121977
PMS2,0.017875920084121977
ARHGAP5,0.017875920084121977
ENPEP,0.017875920084121977
CDH10,0.017875920084121977
NBN,0.016824395373291272
RGPD3,0.016824395373291272
POLE,0.016824395373291272
LATS2,0.016824395373291272
HNF1A,0.016824395373291272
ERBB2,0.016824395373291272
BAP1,0.016824395373291272
CHD2,0.016824395373291272
NCOR1,0.015772870662460567
ATR,0.015772870662460567
CIC,0.015772870662460567
PRR14,0.015772870662460567
ELF3,0.015772870662460567
WNK4,0.015772870662460567
ZEB1,0.015772870662460567
MED12,0.015772870662460567
PTPRC,0.015772870662460567
MAP2K4,0.015772870662460567
CR1,0.014721345951629864
DOT1L,0.014721345951629864
AMER1,0.014721345951629864
USP9X,0.014721345951629864
MAP2K1,0.014721345951629864
NOTCH2,0.014721345951629864
MUTYH,0.014721345951629864
MB21D2,0.014721345951629864
USP8,0.014721345951629864
ZNF429,0.014721345951629864
