model_id,tissue,cancer_type
SIDM00003,Skin,Melanoma
SIDM00023,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00040,Stomach,Gastric Carcinoma
SIDM00042,Pancreas,Pancreatic Carcinoma
SIDM00043,Head and Neck,Head and Neck Carcinoma
SIDM00044,Head and Neck,Head and Neck Carcinoma
SIDM00045,Stomach,Gastric Carcinoma
SIDM00046,Lung,Non-Small Cell Lung Carcinoma
SIDM00047,Lung,Non-Small Cell Lung Carcinoma
SIDM00048,Lung,Non-Small Cell Lung Carcinoma
SIDM00049,Large Intestine,Colorectal Carcinoma
SIDM00050,Bone,Chondrosarcoma
SIDM00051,Bone,Chondrosarcoma
SIDM00052,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00053,Pancreas,Pancreatic Carcinoma
SIDM00056,Thyroid,Thyroid Gland Carcinoma
SIDM00064,Liver,Hepatocellular Carcinoma
SIDM00077,Head and Neck,Oral Cavity Carcinoma
SIDM00078,Head and Neck,Oral Cavity Carcinoma
SIDM00079,Ovary,Ovarian Carcinoma
SIDM00080,Skin,Melanoma
SIDM00081,Skin,Melanoma
SIDM00082,Skin,Melanoma
SIDM00083,Central Nervous System,Glioblastoma
SIDM00084,Central Nervous System,Glioblastoma
SIDM00085,Central Nervous System,Glioma
SIDM00086,Kidney,Kidney Carcinoma
SIDM00087,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM00088,Prostate,Prostate Carcinoma
SIDM00090,Ovary,Ovarian Carcinoma
SIDM00091,Ovary,Ovarian Carcinoma
SIDM00092,Ovary,Ovarian Carcinoma
SIDM00094,Kidney,Kidney Carcinoma
SIDM00095,Central Nervous System,Glioblastoma
SIDM00096,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma
SIDM00097,Breast,Breast Carcinoma
SIDM00098,Lung,Mesothelioma
SIDM00099,Lung,Mesothelioma
SIDM00100,Lung,Mesothelioma
SIDM00101,Lung,Mesothelioma
SIDM00102,Lung,Mesothelioma
SIDM00103,Lung,Mesothelioma
SIDM00104,Lung,Mesothelioma
SIDM00105,Ovary,Ovarian Carcinoma
SIDM00107,Skin,Melanoma
SIDM00108,Skin,Melanoma
SIDM00111,Central Nervous System,Glioma
SIDM00112,Kidney,Kidney Carcinoma
SIDM00113,Kidney,Kidney Carcinoma
SIDM00114,Lung,Non-Small Cell Lung Carcinoma
SIDM00115,Head and Neck,Head and Neck Carcinoma
SIDM00116,Lung,Non-Small Cell Lung Carcinoma
SIDM00117,Lung,Non-Small Cell Lung Carcinoma
SIDM00118,Large Intestine,Colorectal Carcinoma
SIDM00119,Lung,Non-Small Cell Lung Carcinoma
SIDM00120,Prostate,Prostate Carcinoma
SIDM00121,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00122,Breast,Breast Carcinoma
SIDM00123,Kidney,Kidney Carcinoma
SIDM00124,Kidney,Kidney Carcinoma
SIDM00125,Kidney,Kidney Carcinoma
SIDM00126,Skin,Melanoma
SIDM00127,Head and Neck,Oral Cavity Carcinoma
SIDM00128,Head and Neck,Head and Neck Carcinoma
SIDM00129,Skin,Melanoma
SIDM00130,Pancreas,Pancreatic Carcinoma
SIDM00132,Pancreas,Pancreatic Carcinoma
SIDM00133,Lung,Non-Small Cell Lung Carcinoma
SIDM00134,Lung,Non-Small Cell Lung Carcinoma
SIDM00135,Breast,Breast Carcinoma
SIDM00136,Large Intestine,Colorectal Carcinoma
SIDM00137,Lung,Non-Small Cell Lung Carcinoma
SIDM00138,Lung,Non-Small Cell Lung Carcinoma
SIDM00139,Lung,Mesothelioma
SIDM00140,Skin,Melanoma
SIDM00142,Endometrium,Endometrial Carcinoma
SIDM00143,Lung,Small Cell Lung Carcinoma
SIDM00144,Lung,Non-Small Cell Lung Carcinoma
SIDM00145,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00146,Breast,Breast Carcinoma
SIDM00148,Breast,Breast Carcinoma
SIDM00149,Skin,Melanoma
SIDM00150,Large Intestine,Colorectal Carcinoma
SIDM00151,Ovary,Ovarian Carcinoma
SIDM00154,Lung,Mesothelioma
SIDM00156,Peripheral Nervous System,Neuroblastoma
SIDM00157,Peripheral Nervous System,Neuroblastoma
SIDM00172,Head and Neck,Head and Neck Carcinoma
SIDM00174,Head and Neck,Head and Neck Carcinoma
SIDM00175,Skin,Melanoma
SIDM00176,Bone,Chondrosarcoma
SIDM00179,Skin,Melanoma
SIDM00180,Kidney,Kidney Carcinoma
SIDM00181,Bladder,Bladder Carcinoma
SIDM00182,Head and Neck,Head and Neck Carcinoma
SIDM00183,Lung,Small Cell Lung Carcinoma
SIDM00184,Skin,Melanoma
SIDM00185,Skin,Melanoma
SIDM00186,Kidney,Kidney Carcinoma
SIDM00187,Kidney,Kidney Carcinoma
SIDM00188,Kidney,Kidney Carcinoma
SIDM00190,Skin,Melanoma
SIDM00191,Kidney,Kidney Carcinoma
SIDM00193,Large Intestine,Colorectal Carcinoma
SIDM00194,Large Intestine,Colorectal Carcinoma
SIDM00195,Bone,Ewing's Sarcoma
SIDM00196,Bone,Ewing's Sarcoma
SIDM00197,Bone,Ewing's Sarcoma
SIDM00198,Bone,Ewing's Sarcoma
SIDM00199,Bone,Chondrosarcoma
SIDM00200,Bone,Ewing's Sarcoma
SIDM00201,Bone,Ewing's Sarcoma
SIDM00202,Bone,Ewing's Sarcoma
SIDM00203,Bone,Ewing's Sarcoma
SIDM00205,Bone,Ewing's Sarcoma
SIDM00206,Central Nervous System,Glioblastoma
SIDM00207,Central Nervous System,Glioblastoma
SIDM00208,Central Nervous System,Glioblastoma
SIDM00209,Central Nervous System,Glioblastoma
SIDM00210,Ovary,Ovarian Carcinoma
SIDM00211,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM00212,Central Nervous System,Glioblastoma
SIDM00213,Thyroid,Thyroid Gland Carcinoma
SIDM00214,Large Intestine,Colorectal Carcinoma
SIDM00215,Large Intestine,Colorectal Carcinoma
SIDM00216,Large Intestine,Colorectal Carcinoma
SIDM00217,Large Intestine,Colorectal Carcinoma
SIDM00218,Thyroid,Thyroid Gland Carcinoma
SIDM00220,Ovary,Ovarian Carcinoma
SIDM00222,Lung,Mesothelioma
SIDM00223,Lung,Small Cell Lung Carcinoma
SIDM00224,Lung,Mesothelioma
SIDM00225,Skin,Melanoma
SIDM00227,Peripheral Nervous System,Neuroblastoma
SIDM00230,Lung,Small Cell Lung Carcinoma
SIDM00231,Kidney,Kidney Carcinoma
SIDM00232,Kidney,Kidney Carcinoma
SIDM00233,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00234,Cervix,Other Solid Cancers
SIDM00235,Kidney,Kidney Carcinoma
SIDM00237,Lung,Non-Small Cell Lung Carcinoma
SIDM00238,Ovary,Ovarian Carcinoma
SIDM00239,Kidney,Kidney Carcinoma
SIDM00240,Cervix,Cervical Carcinoma
SIDM00241,Breast,Breast Carcinoma
SIDM00242,Bone,Osteosarcoma
SIDM00243,Testis,Other Solid Cancers
SIDM00244,Peripheral Nervous System,Neuroblastoma
SIDM00245,Lung,Small Cell Lung Carcinoma
SIDM00247,Stomach,Gastric Carcinoma
SIDM00249,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00250,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00251,Stomach,Gastric Carcinoma
SIDM00252,Biliary Tract,Biliary Tract Carcinoma
SIDM00253,Peripheral Nervous System,Neuroblastoma
SIDM00254,Peripheral Nervous System,Neuroblastoma
SIDM00255,Peripheral Nervous System,Neuroblastoma
SIDM00256,Peripheral Nervous System,Neuroblastoma
SIDM00257,Peripheral Nervous System,Neuroblastoma
SIDM00260,Stomach,Gastric Carcinoma
SIDM00261,Bone,Ewing's Sarcoma
SIDM00262,Bone,Ewing's Sarcoma
SIDM00263,Bone,Ewing's Sarcoma
SIDM00264,Bone,Ewing's Sarcoma
SIDM00266,Bone,Ewing's Sarcoma
SIDM00267,Biliary Tract,Biliary Tract Carcinoma
SIDM00269,Bone,Ewing's Sarcoma
SIDM00270,Head and Neck,Head and Neck Carcinoma
SIDM00271,Stomach,Gastric Carcinoma
SIDM00272,Breast,Breast Carcinoma
SIDM00273,Central Nervous System,Glioblastoma
SIDM00274,Stomach,Gastric Carcinoma
SIDM00276,Biliary Tract,Biliary Tract Carcinoma
SIDM00277,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM00278,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00279,Stomach,Gastric Carcinoma
SIDM00280,Stomach,Gastric Carcinoma
SIDM00281,Skin,Other Solid Cancers
SIDM00282,Large Intestine,Colorectal Carcinoma
SIDM00283,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00284,Skin,Melanoma
SIDM00286,Peripheral Nervous System,Neuroblastoma
SIDM00287,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM00289,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM00290,Stomach,Gastric Carcinoma
SIDM00291,Skin,Melanoma
SIDM00292,Lung,Small Cell Lung Carcinoma
SIDM00293,Lung,Small Cell Lung Carcinoma
SIDM00294,Lung,Small Cell Lung Carcinoma
SIDM00296,Lung,Small Cell Lung Carcinoma
SIDM00297,Lung,Non-Small Cell Lung Carcinoma
SIDM00299,Soft Tissue,Other Sarcomas
SIDM00301,Pancreas,Pancreatic Carcinoma
SIDM00302,Ovary,Other Solid Cancers
SIDM00303,Ovary,Ovarian Carcinoma
SIDM00304,Ovary,Ovarian Carcinoma
SIDM00305,Ovary,Ovarian Carcinoma
SIDM00306,Lung,Non-Small Cell Lung Carcinoma
SIDM00308,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM00309,Lung,Mesothelioma
SIDM00310,Lung,Mesothelioma
SIDM00311,Lung,Mesothelioma
SIDM00312,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM00313,Haematopoietic and Lymphoid,Hodgkin's Lymphoma
SIDM00315,Central Nervous System,Glioblastoma
SIDM00316,Central Nervous System,Glioblastoma
SIDM00317,Kidney,Kidney Carcinoma
SIDM00318,Kidney,Kidney Carcinoma
SIDM00319,Skin,Melanoma
SIDM00320,Lung,Non-Small Cell Lung Carcinoma
SIDM00321,Ovary,Ovarian Carcinoma
SIDM00322,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00323,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00324,Peripheral Nervous System,Neuroblastoma
SIDM00325,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00326,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00327,Haematopoietic and Lymphoid,Hodgkin's Lymphoma
SIDM00328,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00329,Haematopoietic and Lymphoid,Hodgkin's Lymphoma
SIDM00330,Peripheral Nervous System,Neuroblastoma
SIDM00331,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM00332,Breast,Breast Carcinoma
SIDM00333,Endometrium,Endometrial Carcinoma
SIDM00334,Endometrium,Endometrial Carcinoma
SIDM00335,Endometrium,Endometrial Carcinoma
