pathway,gene_symbol
ABC transporters,ABCB1
AGE-RAGE signaling pathway in diabetic complications,BAX
AGE-RAGE signaling pathway in diabetic complications,FN1
AGE-RAGE signaling pathway in diabetic complications,KRAS
AGE-RAGE signaling pathway in diabetic complications,NRAS
AGE-RAGE signaling pathway in diabetic complications,PIK3CA
AGE-RAGE signaling pathway in diabetic complications,PIK3CB
AGE-RAGE signaling pathway in diabetic complications,PIK3R1
AGE-RAGE signaling pathway in diabetic complications,SMAD4
AGE-RAGE signaling pathway in diabetic complications,STAT3
AGE-RAGE signaling pathway in diabetic complications,STAT5B
AGE-RAGE signaling pathway in diabetic complications,TGFBR2
AMPK signaling pathway,IRS4
AMPK signaling pathway,PIK3CA
AMPK signaling pathway,PIK3CB
AMPK signaling pathway,PIK3R1
AMPK signaling pathway,STK11
AMPK signaling pathway,TSC1
AMPK signaling pathway,TSC2
Adherens junction,CDH1
Adherens junction,CREBBP
Adherens junction,CTNNB1
Adherens junction,EGFR
Adherens junction,EP300
Adherens junction,ERBB2
Adherens junction,MET
Adherens junction,PTPN6
Adherens junction,PTPRB
Adherens junction,RHOA
Adherens junction,SMAD4
Adherens junction,TGFBR2
Adipocytokine signaling pathway,IRS4
Adipocytokine signaling pathway,PTPN11
Adipocytokine signaling pathway,STAT3
Adipocytokine signaling pathway,STK11
Adrenergic signaling in cardiomyocytes,CACNA1D
Alcoholism,BRAF
Alcoholism,GRIN2A
Alcoholism,KRAS
Alcoholism,MAP2K1
Alcoholism,NRAS
Aldosterone synthesis and secretion,CACNA1D
Aldosterone synthesis and secretion,PRKD2
Aldosterone-regulated sodium reabsorption,KRAS
Aldosterone-regulated sodium reabsorption,PIK3CA
Aldosterone-regulated sodium reabsorption,PIK3CB
Aldosterone-regulated sodium reabsorption,PIK3R1
Antigen processing and presentation,B2M
Antigen processing and presentation,CIITA
Antigen processing and presentation,HLA-A
Antigen processing and presentation,HLA-B
Apelin signaling pathway,CDH1
Apelin signaling pathway,GNA13
Apelin signaling pathway,KRAS
Apelin signaling pathway,MAP2K1
Apelin signaling pathway,NRAS
Apelin signaling pathway,SMAD4
Apoptosis,ATM
Apoptosis,BAX
Apoptosis,BIRC6
Apoptosis,CASP8
Apoptosis,KRAS
Apoptosis,MAP2K1
Apoptosis,NRAS
Apoptosis,NTRK1
Apoptosis,PARP4
Apoptosis,PIK3CA
Apoptosis,PIK3CB
Apoptosis,PIK3R1
Apoptosis,PTPN13
Apoptosis,TP53
Autophagy,IRS4
Autophagy,KRAS
Autophagy,MAP2K1
Autophagy,NRAS
Autophagy,PIK3CA
Autophagy,PIK3CB
Autophagy,PIK3R1
Autophagy,PTEN
Autophagy,STK11
Autophagy,TSC1
Autophagy,TSC2
Axon guidance,ARHGEF12
Axon guidance,BMPR2
Axon guidance,DCC
Axon guidance,EPHA2
Axon guidance,EPHA3
Axon guidance,EPHA7
Axon guidance,FES
Axon guidance,KRAS
Axon guidance,MET
Axon guidance,NRAS
Axon guidance,PIK3CA
Axon guidance,PIK3CB
Axon guidance,PIK3R1
Axon guidance,PTCH1
Axon guidance,PTPN11
Axon guidance,RASA1
Axon guidance,RHOA
B cell receptor signaling pathway,CARD11
B cell receptor signaling pathway,KRAS
B cell receptor signaling pathway,MAP2K1
B cell receptor signaling pathway,NRAS
B cell receptor signaling pathway,PIK3CA
B cell receptor signaling pathway,PIK3CB
B cell receptor signaling pathway,PIK3R1
B cell receptor signaling pathway,PTPN6
Bacterial invasion of epithelial cells,CDH1
Bacterial invasion of epithelial cells,CLTC
Bacterial invasion of epithelial cells,CLTCL1
Bacterial invasion of epithelial cells,CTNNB1
Bacterial invasion of epithelial cells,FN1
Bacterial invasion of epithelial cells,MET
Bacterial invasion of epithelial cells,PIK3CA
Bacterial invasion of epithelial cells,PIK3CB
Bacterial invasion of epithelial cells,PIK3R1
Bacterial invasion of epithelial cells,RHOA
Basal transcription factors,TAF15
Base excision repair,MUTYH
Base excision repair,PARP4
Base excision repair,POLD1
Base excision repair,POLE
Bile secretion,ABCB1
C-type lectin receptor signaling pathway,ARHGEF12
C-type lectin receptor signaling pathway,CASP8
C-type lectin receptor signaling pathway,KRAS
C-type lectin receptor signaling pathway,NRAS
C-type lectin receptor signaling pathway,PIK3CA
C-type lectin receptor signaling pathway,PIK3CB
C-type lectin receptor signaling pathway,PIK3R1
C-type lectin receptor signaling pathway,PTPN11
C-type lectin receptor signaling pathway,RHOA
Calcium signaling pathway,CACNA1D
Calcium signaling pathway,EGFR
Calcium signaling pathway,ERBB2
Calcium signaling pathway,ERBB3
Calcium signaling pathway,ERBB4
Calcium signaling pathway,FGFR4
Calcium signaling pathway,FLT4
Calcium signaling pathway,GRIN2A
Calcium signaling pathway,MET
Calcium signaling pathway,NTRK1
Cardiac muscle contraction,CACNA1D
Cell adhesion molecules,CDH1
Cell adhesion molecules,HLA-A
Cell adhesion molecules,HLA-B
Cell adhesion molecules,PTPRC
Cell cycle,ATM
Cell cycle,ATR
Cell cycle,CDKN2A
